Food Product,Refrigerator Storage,Freezer Storage
Butter or margarine,1-3 months,6-9 months
Buttermilk,1-2 weeks,Freezes poorly
"Cheese spread, opened",2 weeks,Freezes poorly
"Condensed milk, opened",3-5 days,1 month
Cottage or farmer’s cheese,1 week,Freezes poorly
"Cream, half and half",3-4 days,4 months
Cream cheese,2 weeks,Freezes poorly
"Evaporated milk, opened",3-5 days,Freezes poorly
Fluid milk,5-7 days after sell-by date,1-3 months
Hard cheese,"6 months(unopened),",6 months
Hard cheese,3-4 weeks (opened),6 months
Ice cream and sherbet,Do not refrigerate,2 months
Nonfat Dry Milk (NFDM),5-6 months,10-12 months
Processed cheese,3-4 weeks,4 months
Pudding,2 days after opening,Freezes poorly
Reconstituted NFDM,3-5 days,Freezes poorly
Sour cream,7-21 days,Freezes poorly
Whipped cream,2-3 hours,1 month
Whipping cream,10 days,2 months
Yogurt,1 week after sell-by date,1-2 months
Egg Fresh in shell,3-5 weeks,Freeze poorly
"Egg Raw yolks, whites",2-4 days,1 year
"Egg Liquid pasteurized eggs, egg",10 days (unopened),1 year (unopened)
Egg substitutes,3 days (opened),Freeze poorly
Egg Hard cooked,1 week,Freeze poorly
Roasts and steaks,3-5 days,6-12 months
Chops,3-5 days,4-6 months
Ground and stew meats,1-2 days,3-4 months
Bacon,1 week,1 month
Canned ham,6-9 months (unopened),Freezes poorly
Canned ham,3-5 months (opened),1-2 months
"Corned beef, in pouch",5-7 days,"1 month, drained"
"Ham, slices (fully cooked)",3-4 days,1-2 months
"Ham, half (fully cooked)",3-5 days,1-2 months
"Ham, whole (fully cooked)",1 week,1-2 months
Hotdogs,2 weeks (unopened),1-2 months
Hotdogs,1 week (opened),1-2 months
Sausage,1-2 days,1-2 months
"Smoked breakfast links, patties",7 days,1-2 months
Organ meats,1-2 days,3-4 months
Lunch meats,2 weeks (unopened),1-2 months
Lunch meats,3-5 days (opened),1-2 months
Vacuum-packed dinners with,2 weeks (unopened),Do not freeze
USDA seal,2 weeks (unopened),Do not freeze
"Cooked meats, casseroles, soups,",3-4 days,2-3 months
stews,3-4 days,2-3 months
Gravy and meat broth,1-2 days,2-3 months
